CIP_Code,CIP_Desc,credential_level_tags,year,avg_debt_debt_all_stgp_any_mean,avg_postgrad_earnings,avg_income_a_mean_broad_detailed,weighted_income_a_mean_by_tot_emp,avg_income_a_pct10_broad_detailed,avg_income_a_pct90_broad_detailed,sum_employment_tot_emp
0904,Broadcast Journalism.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,22606,32517,63406,65318,27600,110997,285380
0904,Broadcast Journalism.,Associate's Degree|Bachelor's Degree,2019,21846,32042,64690,66542,28288,114574,330200
0904,Broadcast Journalism.,Associate's Degree|Bachelor's Degree,2020,21533,,66959,69577,29862,118076,305530
0907,Digital Communication and Media/Multimedia.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,20943,,76928,100453,31672,138645,628760
0907,Digital Communication and Media/Multimedia.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,22006,26285,77388,101347,32180,135070,657270
0907,Digital Communication and Media/Multimedia.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,23156,29138,79068,103911,32935,138878,686930
0907,Digital Communication and Media/Multimedia.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,23204,29190,71685,79196,28843,132473,284390
0907,Digital Communication and Media/Multimedia.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,20936,,73392,81515,30182,135237,260140
0909,Advertising.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,22946,,76032,72136,35983,122857,1097540
0909,Advertising.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,23575,35221,78143,74165,37378,124792,1129790
0909,Advertising.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,22866,37396,80420,75493,39170,126630,1157100
0909,Advertising.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,23212,36809,81445,77722,39396,129076,1241030
0909,Advertising.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,23325,,83923,80049,40889,126397,1234910
0999,"Communication, Journalism, and Related Programs, Other.",Bachelor's Degree|Undergraduate Certificate or Diploma,2016,24463,,70787,68987,31187,118627,170040
0999,"Communication, Journalism, and Related Programs, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,22801,31700,71997,70508,32037,120900,170960
0999,"Communication, Journalism, and Related Programs, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,24400,34747,73553,71913,33023,124350,170060
0999,"Communication, Journalism, and Related Programs, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,22784,32058,75200,73782,34813,127520,170950
0999,"Communication, Journalism, and Related Programs, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,23740,,77843,76385,36730,132593,166040
1001,Communications Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,14799,,60930,60889,23830,113998,98730
1001,Communications Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,16489,16450,63005,63081,25108,116330,96040
1001,Communications Technology/Technician.,Associate's Degree|Bachelor's Degree,2018,17432,20991,62382,62460,25608,114615,93670
1001,Communications Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,16274,21549,63562,63090,25795,116095,94270
1001,Communications Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,17922,,63970,63006,27115,112790,80180
1002,"Audiovisual Communications Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,23245,,60702,56978,24500,110470,166800
1002,"Audiovisual Communications Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,21256,22075,61584,57430,25356,110796,168130
1002,"Audiovisual Communications Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2018,20956,23378,61558,57545,26026,110564,170270
1002,"Audiovisual Communications Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2019,21902,23156,63733,59992,27530,111982,179100
1002,"Audiovisual Communications Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2020,19886,,64672,61090,28778,112595,155820
1003,"Animation, Interactive Technology, Video Graphics, and Special Effects.",Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2016,21440,,43452,37614,24692,66847,450480
1003,"Animation, Interactive Technology, Video Graphics, and Special Effects.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,23323,23667,44625,38719,25260,68250,433210
